2026-02-04 22:14:24.638614 , 1,1,1,0,0
2026-02-04 22:14:28.523537 , 1,2,34,0,0
2026-02-04 22:14:32.910469 , 1,2,49,0,77
2026-02-04 22:14:35.787712 , 1,2,3,23,108
2026-02-04 22:14:38.675454 , 1,2,2,24,111
2026-02-04 22:14:42.486641 , 1,2,1,24,114
2026-02-04 22:14:45.413437 , 1,1,3,23,117
2026-02-04 22:14:48.280408 , 1,2,9,23,120
2026-02-04 22:14:51.100851 , 1,2,22,23,114
2026-02-04 22:14:54.023504 , 1,2,11,21,108
2026-02-04 22:14:56.984605 , 1,1,3,18,102
2026-02-04 22:14:59.656846 , 1,2,8,18,96
2026-02-04 22:15:03.545305 , 1,2,26,17,93
2026-02-04 22:15:06.760858 , 1,2,28,24,107
2026-02-04 22:15:09.579330 , 1,2,14,24,110
2026-02-04 22:15:12.563287 , 1,2,3,24,113
2026-02-04 22:15:15.421623 , 1,2,8,24,116
2026-02-04 22:15:18.197618 , 1,2,2,24,119
2026-02-04 22:15:22.074641 , 1,2,19,24,122
2026-02-04 22:15:25.962377 , 1,2,3,24,125
2026-02-04 22:15:29.351385 , 1,2,5,24,116
2026-02-04 22:15:32.625031 , 1,2,32,24,110
2026-02-04 22:15:36.510588 , 1,2,56,24,104
2026-02-04 22:15:39.479535 , 1,2,13,24,98
2026-02-04 22:15:42.251176 , 1,2,4,24,92
2026-02-04 22:15:46.024391 , 1,2,5,24,86
2026-02-04 22:15:49.035505 , 1,2,9,24,88
2026-02-04 22:15:51.952102 , 1,2,5,24,89
2026-02-04 22:15:54.839787 , 1,2,4,24,89
2026-02-04 22:15:58.629776 , 1,2,6,24,89
2026-02-04 22:16:02.930802 , 1,2,3,22,89
2026-02-04 22:16:06.307718 , 1,2,2,20,89
2026-02-04 22:16:10.097442 , 1,2,3,20,89
2026-02-04 22:16:12.974754 , 1,2,4,21,89
2026-02-04 22:16:15.831386 , 1,2,2,22,89
2026-02-04 22:16:19.723986 , 1,2,5,20,89
2026-02-04 22:16:22.983814 , 1,2,7,19,89
2026-02-04 22:16:25.837906 , 1,2,4,19,89
2026-02-04 22:16:28.773649 , 1,2,2,18,89
2026-02-04 22:16:33.142958 , 1,2,1,18,86
2026-02-04 22:16:36.003805 , 1,2,1,18,84
2026-02-04 22:16:38.874978 , 1,2,3,18,84
2026-02-04 22:16:41.642761 , 1,2,1,18,84
2026-02-04 22:16:45.527604 , 1,2,9,17,84
2026-02-04 22:16:48.806881 , 1,2,5,16,84
2026-02-04 22:16:52.693770 , 1,2,2,14,84
2026-02-04 22:16:55.561243 , 1,2,3,14,84
2026-02-04 22:16:59.455370 , 1,2,38,16,84
2026-02-04 22:17:02.250158 , 1,2,31,18,107
2026-02-04 22:17:05.189517 , 1,2,27,23,110
2026-02-04 22:17:08.977656 , 1,2,16,23,113
2026-02-04 22:17:11.844468 , 1,2,1,24,116
2026-02-04 22:17:14.712282 , 1,2,2,23,119
2026-02-04 22:17:18.805942 , 1,2,7,24,122
2026-02-04 22:17:21.472474 , 1,2,3,23,119
2026-02-04 22:17:24.349847 , 1,1,1,23,113
2026-02-04 22:17:28.637434 , 1,1,9,22,107
2026-02-04 22:17:33.635751 , 1,1,2,21,96
2026-02-04 22:17:36.623773 , 1,1,3,21,93
2026-02-04 22:17:39.492478 , 1,2,1,21,90
2026-02-04 22:17:42.360852 , 1,2,4,21,84
2026-02-04 22:17:46.146861 , 1,1,19,21,79
2026-02-04 22:17:49.972733 , 1,2,21,21,76
2026-02-04 22:17:53.623631 , 1,2,48,21,70
2026-02-04 22:17:56.387971 , 1,2,7,21,69
2026-02-04 22:17:59.154563 , 1,2,7,21,69
2026-02-04 22:18:03.044120 , 1,2,4,21,69
2026-02-04 22:18:06.423066 , 1,2,6,21,69
2026-02-04 22:18:10.108157 , 1,1,1,20,69
2026-02-04 22:18:13.078851 , 1,2,6,19,69
2026-02-04 22:18:15.842474 , 1,2,25,18,69
2026-02-04 22:18:19.675998 , 1,2,13,18,69
2026-02-04 22:18:22.602165 , 1,2,40,18,69
2026-02-04 22:18:25.981695 , 1,2,7,17,69
2026-02-04 22:18:29.700322 , 1,1,8,24,109
2026-02-04 22:18:32.739635 , 1,2,11,24,112
2026-02-04 22:18:36.835665 , 1,2,14,24,115
2026-02-04 22:18:39.476967 , 1,2,11,23,118
2026-02-04 22:18:42.372786 , 1,1,11,23,121
2026-02-04 22:18:46.154113 , 1,2,4,21,115
2026-02-04 22:18:50.045441 , 1,2,11,20,109
2026-02-04 22:18:54.857960 , 1,1,7,19,97
2026-02-04 22:18:58.340149 , 1,2,1,18,91
2026-02-04 22:19:01.223723 , 1,2,14,18,85
2026-02-04 22:19:04.042218 , 1,2,21,18,82
2026-02-04 22:19:06.940171 , 1,2,8,18,79
2026-02-04 22:19:10.729867 , 1,2,5,17,79
2026-02-04 22:19:14.109639 , 1,2,23,17,79
2026-02-04 22:19:17.491053 , 1,2,17,17,79
