Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate
2026-01-24 00:51:17.514935,1,1,1,0,0
2026-01-24 00:51:20.344216,1,2,14,0,0
2026-01-24 00:51:24.160116,1,2,6,0,0
2026-01-24 00:51:27.599547,1,1,1,0,0
2026-01-24 00:51:31.499566,1,2,66,0,0
2026-01-24 00:51:34.308652,1,2,44,0,0
2026-01-24 00:51:39.171346,1,2,24,23,111
2026-01-24 00:51:42.078591,1,2,6,23,114
2026-01-24 00:51:45.440637,1,2,6,23,117
2026-01-24 00:51:49.195619,1,2,7,24,123
2026-01-24 00:51:52.797852,1,2,5,24,126
2026-01-24 00:51:55.528645,1,2,10,24,125
2026-01-24 00:51:58.437975,1,2,11,23,119
2026-01-24 00:52:01.290195,1,2,1,22,113
2026-01-24 00:52:05.103725,1,2,3,21,107
2026-01-24 00:52:08.458253,1,2,3,19,101
2026-01-24 00:52:12.355017,1,2,9,19,96
2026-01-24 00:52:16.126539,1,2,3,18,90
2026-01-24 00:52:19.536554,1,2,2,18,88
2026-01-24 00:52:22.397318,1,2,2,18,88
2026-01-24 00:52:25.353626,1,2,3,18,88
2026-01-24 00:52:28.640562,1,1,2,18,88
2026-01-24 00:52:32.372055,1,1,1,18,88
2026-01-24 00:52:35.220670,1,2,3,18,88
2026-01-24 00:52:38.358640,1,2,3,18,88
2026-01-24 00:52:40.999821,1,2,2,18,88
2026-01-24 00:52:43.888453,1,2,7,18,88
2026-01-24 00:52:47.676276,1,2,4,18,88
2026-01-24 00:52:51.476235,1,2,2,18,88
2026-01-24 00:52:55.049616,1,2,2,18,88
2026-01-24 00:52:57.795419,1,2,2,18,88
2026-01-24 00:53:00.710136,1,2,5,18,88
2026-01-24 00:53:04.514913,1,2,4,18,88
2026-01-24 00:53:07.849492,1,2,1,18,88
2026-01-24 00:53:11.740193,1,2,1,18,88
2026-01-24 00:53:14.573341,1,1,3,18,88
2026-01-24 00:53:17.372789,1,2,1,18,88
2026-01-24 00:53:22.205560,1,1,7,18,88
2026-01-24 00:53:25.698396,1,2,2,18,88
2026-01-24 00:53:28.438445,1,2,1,18,88
2026-01-24 00:53:31.242236,1,2,5,18,88
2026-01-24 00:53:35.052354,1,2,2,18,88
2026-01-24 00:53:38.467118,1,2,11,18,88
2026-01-24 00:53:42.358349,1,2,10,18,86
2026-01-24 00:53:46.556664,1,2,10,18,80
2026-01-24 00:53:50.140469,1,2,12,18,78
2026-01-24 00:53:53.724640,1,2,3,18,78
2026-01-24 00:53:56.591765,1,2,2,18,78
2026-01-24 00:53:59.457549,1,2,9,18,78
2026-01-24 00:54:03.350301,1,2,2,18,78
2026-01-24 00:54:06.217448,1,2,3,18,78
2026-01-24 00:54:09.801780,1,2,12,18,77
2026-01-24 00:54:13.288225,1,2,6,18,72
2026-01-24 00:54:17.891638,1,2,4,18,72
2026-01-24 00:54:20.724122,1,1,1,17,72
2026-01-24 00:54:23.625448,1,2,2,17,72
