Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate,PredHeart,PredBreath,AnomalyScore,IsAnomaly
2026-01-25 14:46:06.881701,1,1,2,22,73,73.025,22.079,0.00011008,0
2026-01-25 14:46:09.711215,1,2,10,22,70,70.414,22.019,0.00008606,0
2026-01-25 14:46:13.602382,1,2,9,22,67,67.432,22.122,0.00006848,0
2026-01-25 14:46:16.469627,1,2,3,22,67,67.097,22.015,0.00006347,0
2026-01-25 14:46:19.817787,1,2,3,22,67,67.403,22.037,0.00005974,0
2026-01-25 14:46:23.228029,1,2,8,22,67,67.121,22.058,0.00005905,0
2026-01-25 14:46:26.095178,1,2,6,22,67,66.662,22.114,0.00005231,0
2026-01-25 14:46:30.089506,1,2,17,22,67,66.579,22.126,0.00003203,0
2026-01-25 14:46:33.470377,1,2,10,21,67,66.666,21.146,0.00003310,0
2026-01-25 14:46:36.027172,1,2,9,21,67,66.648,21.058,0.00004030,0
2026-01-25 14:46:38.997598,1,2,5,20,64,64.205,20.191,0.00002504,0
2026-01-25 14:46:42.385139,1,2,10,19,64,63.047,19.051,0.00002270,0
2026-01-25 14:46:45.709183,1,2,13,20,64,63.748,20.187,0.00002113,0
2026-01-25 14:46:49.659386,1,2,4,20,64,64.148,20.130,0.00002656,0
2026-01-25 14:46:52.513869,1,2,9,20,64,63.433,20.037,0.00002070,0
2026-01-25 14:46:55.905127,1,2,11,20,64,63.628,20.240,0.00003120,0
2026-01-25 14:46:59.597603,1,2,6,20,64,63.888,20.080,0.00002205,0
2026-01-25 14:47:03.440184,1,2,40,20,64,63.707,20.140,0.00001543,0
