Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate,PredHeart,PredBreath,AnomalyScore,IsAnomaly
2025-12-11 14:27:03.500314,1,2,5,0,0,2.944,0.408,0.000000,0
2025-12-11 14:27:07.287315,1,2,4,0,0,2.528,0.308,0.000402,0
2025-12-11 14:27:11.657949,1,2,3,0,0,2.242,0.256,0.000274,0
2025-12-11 14:27:15.453409,1,1,2,0,0,2.898,0.400,0.000208,0
2025-12-11 14:27:18.275325,1,2,11,0,0,4.245,0.528,0.000389,0
2025-12-11 14:27:22.721201,1,2,32,0,0,6.424,0.714,0.000782,0
2025-12-11 14:27:26.600413,1,2,15,0,0,3.038,0.297,0.001687,0
2025-12-11 14:27:30.366772,1,1,1,0,0,2.062,0.201,0.000357,0
2025-12-11 14:27:34.201985,1,1,1,0,0,3.317,0.461,0.000164,0
2025-12-11 14:27:37.542187,1,1,1,0,0,4.104,0.700,0.000511,0
2025-12-11 14:27:41.363413,1,2,1,0,0,3.727,0.697,0.000914,0
2025-12-11 14:27:44.729836,1,2,31,0,0,7.127,0.940,0.000819,0
2025-12-11 14:27:48.601053,1,2,4,0,0,2.147,0.304,0.002282,0
2025-12-11 14:27:52.365552,1,1,20,0,0,4.988,0.530,0.000217,0
2025-12-11 14:27:56.222453,1,2,10,0,0,3.581,0.371,0.000996,0
2025-12-11 14:27:59.572378,1,2,34,0,0,5.990,0.634,0.000507,0
2025-12-11 14:28:03.344218,1,2,62,0,0,7.631,0.937,0.001434,0
2025-12-11 14:28:07.704254,1,2,29,0,0,3.116,0.198,0.002508,0
2025-12-11 14:28:10.511151,1,2,85,0,0,7.884,1.261,0.000332,0
2025-12-11 14:28:14.363652,1,2,24,0,0,2.435,0.032,0.003199,0
2025-12-11 14:28:18.219371,1,2,28,0,0,2.082,0.079,0.000185,0
2025-12-11 14:28:21.521660,1,2,17,0,0,1.084,-0.045,0.000139,0
2025-12-11 14:28:25.395183,1,2,13,0,0,0.856,-0.013,0.000038,0
2025-12-11 14:28:29.693732,1,2,71,0,0,6.533,1.313,0.000023,0
2025-12-11 14:28:32.550046,1,2,80,0,0,7.464,1.605,0.002701,0
2025-12-11 14:28:35.401967,1,2,23,0,0,2.735,0.174,0.003787,0
2025-12-11 14:28:39.306809,1,2,5,0,0,-0.244,-0.369,0.000256,0
