Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate,FallState,DwellState,PredHeart,PredBreath,AnomalyScore,IsAnomaly
2025-12-10 16:38:28.468919,1,2,29,0,0,0,0,5.476,0.485,0.000000,0
2025-12-10 16:38:41.337210,1,2,11,0,0,0,0,2.312,0.137,0.001118,0
2025-12-10 16:38:55.254621,1,2,36,0,0,0,0,5.163,0.456,0.000181,0
2025-12-10 16:39:09.648496,1,2,11,0,0,0,0,1.737,0.007,0.000993,0
2025-12-10 16:39:22.557519,1,2,20,0,0,0,0,2.815,0.168,0.000094,0
2025-12-10 16:39:35.373679,1,2,100,0,0,0,0,10.162,1.641,0.000268,0
2025-12-10 16:39:49.325988,1,2,47,0,0,0,0,4.779,0.626,0.005356,0
2025-12-10 16:40:03.288038,1,2,16,0,0,0,0,1.262,-0.176,0.001021,0
2025-12-10 16:40:17.653058,1,2,24,0,0,0,0,1.623,0.041,0.000074,0
2025-12-10 16:40:31.067968,1,2,63,0,0,0,0,5.436,1.024,0.000083,0
2025-12-10 16:40:43.824685,1,2,27,0,0,0,0,2.617,0.291,0.001755,0
2025-12-10 16:40:57.633874,1,2,17,0,0,0,0,1.259,0.029,0.000280,0
2025-12-10 16:41:10.946297,1,2,8,0,0,0,0,0.341,-0.101,0.000050,0
2025-12-10 16:41:24.767946,1,2,3,0,0,0,0,0.143,-0.087,0.000012,0
2025-12-10 16:41:38.629660,1,2,2,23,125,0,0,119.904,21.893,0.909683,1
2025-12-10 16:41:51.396696,1,2,5,22,99,0,0,98.347,19.822,0.013556,0
2025-12-10 16:42:04.322974,1,2,41,22,77,0,0,83.418,21.185,0.017923,0
2025-12-10 16:42:18.766776,1,2,19,24,111,0,0,118.664,23.040,0.029923,0
2025-12-10 16:42:32.645212,1,2,42,21,114,0,0,110.069,19.102,0.004003,0
2025-12-10 16:42:45.455578,1,2,15,22,96,0,0,93.546,20.513,0.012853,0
2025-12-10 16:42:58.313036,1,2,11,22,91,0,0,91.563,20.427,0.001970,0
2025-12-10 16:43:12.286120,1,2,69,22,76,0,0,79.058,20.558,0.009488,0
2025-12-10 16:43:25.572029,1,2,10,18,77,0,0,78.492,17.148,0.005367,0
2025-12-10 16:43:39.435833,1,2,100,13,77,0,0,75.150,13.624,0.013835,0
2025-12-10 16:43:52.345365,1,2,100,23,107,0,0,110.087,24.559,0.101781,1
2025-12-10 16:44:06.255998,1,2,39,24,116,0,0,119.671,23.431,0.001334,0
2025-12-10 16:44:19.569992,1,1,1,23,95,0,0,100.035,21.410,0.019017,0
2025-12-10 16:44:33.432953,1,1,1,23,81,0,0,86.368,21.653,0.013254,0
2025-12-10 16:44:46.439548,1,1,1,25,90,0,0,94.670,23.795,0.009369,0
2025-12-10 16:44:59.449872,1,1,1,25,95,0,0,95.572,23.433,0.001166,0
2025-12-10 16:45:12.257841,1,1,1,25,101,0,0,99.520,23.733,0.002877,0
2025-12-10 16:45:25.115068,0,0,0,0,0,0,0,-7.006,2.180,0.757625,1
2025-12-10 16:45:37.922616,0,0,0,0,0,0,0,1.686,2.715,0.005322,0
