Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate,PredHeart,PredBreath,AnomalyScore,IsAnomaly
2026-01-25 14:42:39.689173,1,1,1,20,63,63.064,19.831,0.00004667,0
2026-01-25 14:42:42.438742,1,2,6,20,62,61.651,20.180,0.00007337,0
2026-01-25 14:42:45.345881,1,2,24,23,62,61.724,23.188,0.00006730,0
2026-01-25 14:43:37.574735,1,1,2,17,66,67.006,17.057,0.00011117,0
2026-01-25 14:43:40.916907,1,1,2,17,66,65.947,17.143,0.00008127,0
2026-01-25 14:43:44.775874,1,2,27,17,66,66.272,17.220,0.00005865,0
2026-01-25 14:43:48.111083,1,2,4,17,66,66.666,17.079,0.00009633,0
2026-01-25 14:43:52.086531,1,1,1,18,66,65.892,18.112,0.00004871,0
2026-01-25 14:43:55.874680,1,1,1,18,66,65.417,18.202,0.00004999,0
2026-01-25 14:44:00.300856,1,2,1,17,66,65.663,17.025,0.00006077,0
2026-01-25 14:44:03.554681,1,1,1,18,66,65.935,18.106,0.00003920,0
2026-01-25 14:44:06.421916,1,1,1,19,66,65.716,19.154,0.00003985,0
2026-01-25 14:44:09.391637,1,1,1,18,66,65.399,18.066,0.00002941,0
2026-01-25 14:44:12.127470,1,1,3,18,66,65.748,18.089,0.00001947,0
2026-01-25 14:44:16.416157,1,2,1,19,66,65.876,19.122,0.00001743,0
2026-01-25 14:44:21.474619,1,1,1,19,66,65.656,19.050,0.00000822,0
2026-01-25 14:44:24.285564,1,1,1,20,66,65.447,20.167,0.00001131,0
2026-01-25 14:44:27.093342,1,1,1,20,66,65.923,20.145,0.00001387,0
2026-01-25 14:44:30.955280,1,1,1,21,67,66.480,20.946,0.00003297,0
2026-01-25 14:44:33.865722,1,1,1,21,70,69.463,21.259,0.00002831,0
2026-01-25 14:44:36.669958,1,1,1,22,73,72.677,22.063,0.00002927,0
2026-01-25 14:44:40.481785,1,1,1,21,76,75.629,21.183,0.00003040,0
2026-01-25 14:44:43.391168,1,1,3,21,79,78.407,20.998,0.00004490,0
2026-01-25 14:44:47.302528,1,2,3,21,73,73.953,21.160,0.00007150,0
2026-01-25 14:44:50.146677,1,2,1,21,76,74.228,21.078,0.00008617,0
2026-01-25 14:44:52.972836,1,1,1,22,79,78.499,22.152,0.00007770,0
2026-01-25 14:44:56.829031,1,1,2,22,81,81.397,22.184,0.00009335,0
2026-01-25 14:44:59.736661,1,1,1,23,81,80.687,23.017,0.00008604,0
2026-01-25 14:45:02.496267,1,1,1,23,81,80.093,23.268,0.00010354,0
2026-01-25 14:45:06.428105,1,1,1,24,81,80.542,24.061,0.00009566,0
