Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate
2026-01-11 10:36:45.504059,1,1,1,0,0
2026-01-11 10:36:48.839223,1,1,4,0,0
2026-01-11 10:36:52.728433,1,2,16,0,0
2026-01-11 10:36:56.084250,1,2,35,0,0
2026-01-11 10:36:59.899379,1,2,59,0,0
2026-01-11 10:37:04.404440,1,2,16,0,114
2026-01-11 10:37:07.671545,1,2,10,23,117
2026-01-11 10:37:11.060090,1,2,100,23,120
2026-01-11 10:37:14.783691,1,2,23,23,123
2026-01-11 10:37:19.251591,1,2,55,23,126
2026-01-11 10:37:22.647613,1,2,27,24,126
2026-01-11 10:37:26.262621,1,2,9,24,127
2026-01-11 10:37:30.210504,1,1,5,24,126
2026-01-11 10:37:33.882754,1,2,5,23,125
2026-01-11 10:37:37.192245,1,2,3,21,119
2026-01-11 10:37:40.052615,1,2,6,17,113
2026-01-11 10:37:42.907513,1,2,9,15,107
2026-01-11 10:37:46.798090,1,2,1,13,103
2026-01-11 10:37:50.278696,1,1,2,15,100
2026-01-11 10:37:52.941744,1,2,2,16,97
2026-01-11 10:37:55.750578,1,2,2,15,95
2026-01-11 10:37:58.777730,1,2,1,16,95
2026-01-11 10:38:01.542648,1,2,9,16,95
2026-01-11 10:38:05.383908,1,2,48,13,95
2026-01-11 10:38:08.300575,1,2,11,12,90
2026-01-11 10:38:12.146728,1,2,11,11,84
2026-01-11 10:38:15.162804,1,2,11,11,74
2026-01-11 10:38:17.941680,1,2,6,14,74
2026-01-11 10:38:20.777279,1,2,6,15,71
2026-01-11 10:38:24.187618,1,2,12,15,68
2026-01-11 10:38:27.961698,1,2,15,16,65
2026-01-11 10:38:31.955279,1,2,8,16,65
2026-01-11 10:38:34.721932,1,2,4,17,65
2026-01-11 10:38:37.474348,1,2,6,17,65
2026-01-11 10:38:41.375777,1,2,5,17,65
2026-01-11 10:38:44.348143,1,2,5,18,65
2026-01-11 10:38:47.111355,1,2,10,18,64
2026-01-11 10:38:50.071074,1,2,12,18,64
2026-01-11 10:38:52.974499,1,2,6,17,64
2026-01-11 10:38:55.821522,1,2,12,17,64
2026-01-11 10:38:58.783791,1,2,1,16,64
2026-01-11 10:39:01.548231,1,2,1,16,64
2026-01-11 10:39:05.438485,1,2,10,16,64
2026-01-11 10:39:09.325052,1,2,1,16,70
2026-01-11 10:39:13.224041,1,2,2,16,73
2026-01-11 10:39:16.524030,1,2,9,15,76
2026-01-11 10:39:20.408697,1,1,10,15,79
2026-01-11 10:39:24.182500,1,2,3,15,82
2026-01-11 10:39:28.071703,1,2,1,15,83
2026-01-11 10:39:30.961470,1,2,6,15,83
2026-01-11 10:39:33.805154,1,1,8,16,83
2026-01-11 10:39:36.774581,1,2,3,16,83
2026-01-11 10:39:39.539391,1,2,2,16,83
2026-01-11 10:39:42.406658,1,2,5,16,83
2026-01-11 10:39:46.297507,1,2,9,16,83
2026-01-11 10:39:49.190446,1,2,6,16,83
2026-01-11 10:39:51.934515,1,2,8,16,83
2026-01-11 10:39:55.922547,1,1,2,16,83
2026-01-11 10:39:59.199423,1,2,6,16,83
2026-01-11 10:40:02.887130,1,2,2,16,83
2026-01-11 10:40:07.291104,1,2,10,16,83
2026-01-11 10:40:10.541761,1,2,28,16,83
2026-01-11 10:40:14.357508,1,2,12,16,83
2026-01-11 10:40:17.327784,1,2,2,16,83
2026-01-11 10:40:20.088822,1,2,5,16,83
2026-01-11 10:40:23.988827,1,2,3,16,83
2026-01-11 10:40:26.844964,1,2,9,16,83
2026-01-11 10:40:30.199054,1,2,4,16,83
2026-01-11 10:40:33.605545,1,2,7,15,83
2026-01-11 10:40:36.472550,1,2,13,15,83
2026-01-11 10:40:40.389988,1,2,2,14,83
2026-01-11 10:40:43.231109,1,2,11,14,83
2026-01-11 10:40:46.098198,1,2,2,14,83
