Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate
2025-11-20 16:40:37.171797,1,2,73,12,73
2025-11-20 16:40:39.990438,1,2,28,23,100
2025-11-20 16:40:42.837719,1,2,15,23,100
2025-11-20 16:40:45.753294,1,2,4,23,100
2025-11-20 16:40:49.171666,1,2,25,23,100
2025-11-20 16:40:53.053771,1,2,7,23,100
2025-11-20 16:40:55.850372,1,2,9,21,100
2025-11-20 16:40:58.727971,1,2,9,19,100
2025-11-20 16:41:01.546531,1,2,44,17,100
2025-11-20 16:41:04.370895,1,2,49,15,100
2025-11-20 16:41:07.318861,1,2,10,14,100
2025-11-20 16:41:10.756602,1,2,21,14,94
2025-11-20 16:41:14.667549,1,2,9,13,90
2025-11-20 16:41:17.996104,1,2,27,13,90
2025-11-20 16:41:20.836289,1,2,20,12,90
2025-11-20 16:41:24.699848,1,2,34,11,87
2025-11-20 16:41:27.597103,1,2,9,11,87
2025-11-20 16:41:30.419489,1,2,35,11,85
2025-11-20 16:41:35.244967,1,2,2,12,79
2025-11-20 16:41:39.634829,1,2,5,11,78
2025-11-20 16:41:43.435468,1,2,6,11,78
2025-11-20 16:41:46.738604,1,2,100,11,78
2025-11-20 16:41:49.568768,1,2,91,23,100
2025-11-20 16:41:52.439422,1,2,58,23,100
