Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate,PredHeart,PredBreath,AnomalyScore,IsAnomaly
2025-12-11 19:42:40.926867,1,1,1,17,67,68.327,17.263,0.0,0
2025-12-11 19:42:44.236302,1,1,1,19,65,66.521,18.855,0.002757,0
2025-12-11 19:42:47.598272,1,2,56,20,67,77.891,20.513,0.001056,0
2025-12-11 19:42:50.504839,1,2,69,23,70,80.409,23.496,0.00688,0
2025-12-11 19:42:53.418482,1,2,32,24,100,116.114,24.559,0.023802,0
2025-12-11 19:42:56.224239,1,2,66,24,100,112.181,24.246,0.001061,0
2025-12-11 19:43:00.033249,1,2,27,23,100,115.284,23.508,0.001345,0
2025-12-11 19:43:03.992994,1,2,15,23,100,116.27,23.116,0.000297,0
2025-12-11 19:43:07.427384,1,2,14,24,100,115.708,23.704,0.000641,0
2025-12-11 19:43:10.223010,1,2,14,24,100,108.969,23.167,0.000757,0
2025-12-11 19:43:13.094381,1,2,15,24,100,107.291,23.031,0.000584,0
2025-12-11 19:43:16.947135,1,2,5,24,100,103.274,22.701,0.000914,0
2025-12-11 19:43:20.243718,1,2,4,24,100,100.281,22.584,0.001401,0
2025-12-11 19:43:24.574298,1,2,7,25,99,97.578,23.534,0.004719,0
2025-12-11 19:43:29.965778,1,1,5,25,98,96.315,23.456,0.001725,0
2025-12-11 19:43:32.778827,1,2,4,25,98,95.858,23.538,0.001996,0
2025-12-11 19:43:36.586201,1,2,9,22,98,95.13,20.9,0.002034,0
2025-12-11 19:43:40.941286,1,2,15,21,94,91.562,20.715,4.8e-05,0
2025-12-11 19:43:44.250738,1,2,16,20,89,87.53,20.121,0.000613,0
2025-12-11 19:43:48.070336,1,2,5,18,84,81.986,18.172,0.003984,0
2025-12-11 19:43:51.919208,1,2,69,17,84,91.205,18.563,0.001224,0
