Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate,FallState,DwellState
2025-12-02 23:02:42.634987,1,1,1,0,0,0,0
2025-12-02 23:02:55.435060,1,2,3,0,0,0,0
2025-12-02 23:03:08.337277,1,2,3,23,100,0,0
2025-12-02 23:03:21.724682,1,2,1,23,100,0,0
2025-12-02 23:03:34.570752,1,2,30,20,94,0,0
2025-12-02 23:03:47.458636,1,1,1,22,77,0,0
2025-12-02 23:04:01.380698,1,2,1,23,100,0,0
2025-12-02 23:04:14.181736,1,1,3,21,100,0,0
2025-12-02 23:04:28.530255,1,2,5,20,83,0,0
2025-12-02 23:04:41.943440,1,2,3,20,67,0,0
2025-12-02 23:04:55.349707,1,2,5,20,75,0,0
2025-12-02 23:05:08.149816,1,2,3,22,68,0,0
2025-12-02 23:05:21.971565,1,2,5,22,73,0,0
2025-12-02 23:05:34.976086,1,2,1,20,76,0,0
2025-12-02 23:05:49.414604,1,1,1,19,74,0,0
2025-12-02 23:06:02.215858,1,2,2,19,74,0,0
2025-12-02 23:06:16.042681,1,2,16,19,66,0,0
2025-12-02 23:06:29.248832,1,2,3,19,64,0,0
2025-12-02 23:06:42.010926,1,2,6,21,64,0,0
