Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate,PredHeart,PredBreath,AnomalyScore,IsAnomaly
2026-01-25 14:43:40.916907,1,1,2,17,66,65.947,17.143,8.127e-05,0
2026-01-25 14:43:44.775874,1,2,27,17,66,66.272,17.22,5.865e-05,0
2026-01-25 14:43:48.111083,1,2,4,17,66,66.666,17.079,9.633e-05,0
2026-01-25 14:43:52.086531,1,1,1,18,66,65.892,18.112,4.871e-05,0
2026-01-25 14:43:55.874680,1,1,1,18,66,65.417,18.202,4.999e-05,0
2026-01-25 14:44:00.300856,1,2,1,17,66,65.663,17.025,6.077e-05,0
2026-01-25 14:44:03.554681,1,1,1,18,66,65.935,18.106,3.92e-05,0
2026-01-25 14:44:06.421916,1,1,1,19,66,65.716,19.154,3.985e-05,0
2026-01-25 14:44:09.391637,1,1,1,18,66,65.399,18.066,2.941e-05,0
2026-01-25 14:44:12.127470,1,1,3,18,66,65.748,18.089,1.947e-05,0
2026-01-25 14:44:16.416157,1,2,1,19,66,65.876,19.122,1.743e-05,0
2026-01-25 14:44:21.474619,1,1,1,19,66,65.656,19.05,8.22e-06,0
2026-01-25 14:44:24.285564,1,1,1,20,66,65.447,20.167,1.131e-05,0
2026-01-25 14:44:27.093342,1,1,1,20,66,65.923,20.145,1.387e-05,0
2026-01-25 14:44:30.955280,1,1,1,21,67,66.48,20.946,3.297e-05,0
2026-01-25 14:44:33.865722,1,1,1,21,70,69.463,21.259,2.831e-05,0
