Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate
2025-12-26 00:09:19.598647,1,2,1,23,119
2025-12-26 00:09:22.391942,1,1,4,23,122
2025-12-26 00:09:26.201393,1,2,1,20,116
2025-12-26 00:09:30.060606,1,2,12,18,110
2025-12-26 00:09:33.571750,1,2,23,17,107
2025-12-26 00:09:36.379274,1,2,2,23,110
2025-12-26 00:09:39.296918,1,1,1,24,113
2025-12-26 00:09:43.100974,1,2,5,23,116
2025-12-26 00:09:46.410617,1,2,29,24,119
2025-12-26 00:09:50.218920,1,2,9,23,122
2025-12-26 00:09:53.126985,1,2,3,24,107
2025-12-26 00:09:55.944234,1,2,3,23,110
2025-12-26 00:09:59.801781,1,1,5,23,113
2025-12-26 00:10:02.716425,1,2,1,24,116
2025-12-26 00:10:06.066515,1,2,3,24,119
2025-12-26 00:10:09.825705,1,2,1,21,110
2025-12-26 00:10:13.236628,1,2,2,20,104
2025-12-26 00:10:16.144578,1,2,4,19,98
2025-12-26 00:10:19.003800,1,2,2,18,92
2025-12-26 00:10:21.865015,1,1,1,17,89
2025-12-26 00:10:25.678755,1,1,2,17,86
2025-12-26 00:10:28.984340,1,2,2,16,81
2025-12-26 00:10:32.943891,1,2,4,16,75
2025-12-26 00:10:36.404780,1,1,1,16,68
2025-12-26 00:10:39.314116,1,2,3,16,65
2025-12-26 00:10:43.125529,1,2,4,16,66
2025-12-26 00:10:46.434405,1,2,2,16,69
2025-12-26 00:10:50.742131,1,2,2,16,69
2025-12-26 00:10:54.702462,1,2,2,16,69
2025-12-26 00:10:57.614152,1,1,1,16,72
2025-12-26 00:11:00.421859,1,2,2,16,75
2025-12-26 00:11:03.282541,1,2,8,16,76
2025-12-26 00:11:07.142311,1,2,2,16,76
2025-12-26 00:11:10.454724,1,2,2,16,76
2025-12-26 00:11:13.913953,1,1,5,16,76
2025-12-26 00:11:16.722842,1,2,16,16,76
2025-12-26 00:11:19.631870,1,2,1,16,76
2025-12-26 00:11:22.445494,1,2,3,16,76
2025-12-26 00:11:26.252574,1,2,3,16,76
2025-12-26 00:11:30.110183,1,2,8,16,76
2025-12-26 00:11:33.469774,1,2,8,16,76
2025-12-26 00:11:36.280404,1,1,2,16,76
2025-12-26 00:11:40.190654,1,2,20,16,76
2025-12-26 00:11:43.049717,1,2,6,16,76
2025-12-26 00:11:45.856850,1,2,5,16,76
2025-12-26 00:11:49.717367,1,2,3,16,74
2025-12-26 00:11:52.678487,1,2,2,16,71
2025-12-26 00:11:55.986481,1,1,4,16,68
2025-12-26 00:12:00.798947,1,1,4,16,65
2025-12-26 00:12:04.660408,1,1,1,15,65
2025-12-26 00:12:07.472635,1,1,2,15,65
2025-12-26 00:12:11.378373,1,2,2,15,65
2025-12-26 00:12:14.742773,1,1,1,16,65
2025-12-26 00:12:18.101352,1,2,5,16,65
2025-12-26 00:12:21.861860,1,2,1,16,65
2025-12-26 00:12:25.733076,1,2,3,16,65
2025-12-26 00:12:29.039511,1,2,2,16,65
2025-12-26 00:12:33.389950,1,2,1,16,70
2025-12-26 00:12:37.701488,1,2,4,16,70
2025-12-26 00:12:41.021852,1,2,3,16,70
2025-12-26 00:12:44.822351,1,2,7,15,70
2025-12-26 00:12:49.181358,1,2,8,15,71
2025-12-26 00:12:52.491274,1,2,4,15,74
2025-12-26 00:12:56.299273,1,1,2,15,74
2025-12-26 00:12:59.211257,1,2,3,15,74
2025-12-26 00:13:02.020887,1,1,1,15,74
2025-12-26 00:13:05.930992,1,1,2,15,75
2025-12-26 00:13:08.790455,1,2,4,15,76
2025-12-26 00:13:12.156655,1,2,1,15,76
2025-12-26 00:13:15.960336,1,2,1,15,76
2025-12-26 00:13:18.771080,1,2,4,15,76
2025-12-26 00:13:21.680431,1,2,2,15,76
2025-12-26 00:13:24.490004,1,2,10,15,76
2025-12-26 00:13:27.349380,1,2,9,15,76
2025-12-26 00:13:31.208138,1,2,14,15,76
2025-12-26 00:13:34.523625,1,2,2,15,76
2025-12-26 00:13:37.380301,1,2,2,15,76
2025-12-26 00:13:40.240465,1,2,12,15,76
2025-12-26 00:13:43.096526,1,2,16,15,76
2025-12-26 00:13:45.906031,1,2,9,15,76
2025-12-26 00:13:49.772579,1,2,2,15,76
2025-12-26 00:13:53.076382,1,2,11,15,76
2025-12-26 00:13:55.940699,1,2,7,16,76
2025-12-26 00:13:58.793489,1,2,2,16,74
2025-12-26 00:14:01.705260,1,2,4,17,71
2025-12-26 00:14:04.517611,1,1,6,17,70
2025-12-26 00:14:08.329395,1,1,10,17,70
2025-12-26 00:14:12.195377,1,2,3,17,70
2025-12-26 00:14:15.542580,1,1,1,17,70
2025-12-26 00:14:18.406090,1,2,1,17,70
2025-12-26 00:14:21.714412,1,2,1,17,70
2025-12-26 00:14:24.524932,1,1,1,17,70
2025-12-26 00:14:27.384473,1,1,1,17,70
2025-12-26 00:14:30.343303,1,2,18,17,106
2025-12-26 00:14:34.257191,1,2,18,23,109
2025-12-26 00:14:37.115194,1,2,11,24,112
2025-12-26 00:14:39.972445,1,2,1,24,115
2025-12-26 00:14:43.786833,1,2,1,23,118
2025-12-26 00:14:47.102289,1,2,6,24,121
2025-12-26 00:14:50.908905,1,2,5,23,124
2025-12-26 00:14:53.811897,1,2,3,21,121
2025-12-26 00:14:57.724532,1,2,7,21,109
2025-12-26 00:15:00.567315,1,1,2,20,103
2025-12-26 00:15:03.445507,1,2,1,20,97
2025-12-26 00:15:07.253147,1,2,3,19,94
2025-12-26 00:15:10.161665,1,2,3,18,91
2025-12-26 00:15:12.926458,1,2,17,17,88
2025-12-26 00:15:16.833035,1,2,1,19,85
2025-12-26 00:15:19.743636,1,2,1,19,82
2025-12-26 00:15:23.654317,1,2,1,19,80
2025-12-26 00:15:26.426289,1,2,11,20,81
2025-12-26 00:15:29.822993,1,2,3,20,84
2025-12-26 00:15:33.737772,1,2,9,20,85
2025-12-26 00:15:36.544046,1,2,2,18,85
2025-12-26 00:15:39.404344,1,2,6,18,85
2025-12-26 00:15:43.261823,1,2,10,18,85
2025-12-26 00:15:46.573428,1,1,3,17,85
2025-12-26 00:15:49.980661,1,2,5,17,85
2025-12-26 00:15:53.297944,1,2,1,17,88
2025-12-26 00:15:56.100483,1,2,2,17,88
2025-12-26 00:16:01.461262,1,2,1,17,87
2025-12-26 00:16:04.325328,1,1,3,17,87
2025-12-26 00:16:07.181382,1,2,8,17,87
2025-12-26 00:16:11.092442,1,2,10,17,87
2025-12-26 00:16:14.905942,1,2,9,17,87
2025-12-26 00:16:18.773859,1,2,7,17,87
2025-12-26 00:16:21.582604,1,2,8,17,87
2025-12-26 00:16:24.434105,1,2,8,17,87
2025-12-26 00:16:28.344970,1,2,4,17,87
2025-12-26 00:16:31.752949,1,2,4,17,87
2025-12-26 00:16:34.564005,1,2,4,17,87
2025-12-26 00:16:38.378181,1,2,2,17,87
2025-12-26 00:16:42.239641,1,2,2,17,83
2025-12-26 00:16:46.001838,1,1,10,17,71
2025-12-26 00:16:49.853719,1,2,6,17,68
2025-12-26 00:16:53.311014,1,1,9,18,65
2025-12-26 00:16:56.121680,1,1,1,18,62
2025-12-26 00:16:59.981677,1,1,8,18,65
2025-12-26 00:17:02.892403,1,2,30,18,68
2025-12-26 00:17:06.249531,1,2,27,18,71
2025-12-26 00:17:10.012949,1,2,5,18,77
2025-12-26 00:17:13.417255,1,2,2,18,75
2025-12-26 00:17:16.327617,1,2,7,17,72
2025-12-26 00:17:19.187921,1,2,9,17,71
2025-12-26 00:17:22.000379,1,2,5,16,74
2025-12-26 00:17:25.870640,1,2,5,16,71
2025-12-26 00:17:29.166705,1,2,4,15,68
2025-12-26 00:17:33.132610,1,1,1,15,65
2025-12-26 00:17:37.439629,1,1,1,15,65
2025-12-26 00:17:40.347383,1,2,1,15,65
2025-12-26 00:17:43.208444,1,2,2,15,65
2025-12-26 00:17:46.066596,1,1,3,15,65
2025-12-26 00:17:49.877130,1,2,1,15,65
2025-12-26 00:17:52.792100,1,2,3,14,65
2025-12-26 00:17:55.600675,1,2,3,14,67
2025-12-26 00:17:59.455157,1,1,1,14,70
2025-12-26 00:18:02.367866,1,1,1,14,73
2025-12-26 00:18:05.184699,1,1,1,14,76
2025-12-26 00:18:08.988159,1,1,4,14,77
2025-12-26 00:18:11.898208,1,1,1,14,79
2025-12-26 00:18:15.811280,1,2,2,16,79
2025-12-26 00:18:18.620583,1,2,2,16,79
2025-12-26 00:18:21.480130,1,1,1,15,76
2025-12-26 00:18:25.355815,1,1,1,14,73
2025-12-26 00:18:29.351933,1,1,2,14,70
