Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate
2025-12-18 23:56:32.528001,1,2,2,17,66
2025-12-18 23:56:35.386893,1,2,2,17,63
2025-12-18 23:56:39.202353,1,2,1,17,62
2025-12-18 23:56:42.553978,1,2,3,17,62
2025-12-18 23:56:45.313320,1,2,7,16,62
2025-12-18 23:56:48.221756,1,2,3,16,62
2025-12-18 23:56:51.136270,1,2,1,16,62
2025-12-18 23:56:53.940738,1,2,3,16,65
2025-12-18 23:56:57.750097,1,2,2,16,68
2025-12-18 23:57:01.611309,1,2,1,16,71
2025-12-18 23:57:04.918190,1,2,2,16,67
2025-12-18 23:57:07.828924,1,2,3,16,67
2025-12-18 23:57:11.686678,1,2,3,16,67
2025-12-18 23:57:14.547103,1,2,1,16,64
2025-12-18 23:57:17.965667,1,2,2,16,62
2025-12-18 23:57:21.768523,1,2,2,16,62
2025-12-18 23:57:25.225664,1,2,2,16,62
2025-12-18 23:57:29.136718,1,2,3,16,62
2025-12-18 23:57:31.947908,1,2,3,16,62
2025-12-18 23:57:34.807600,1,1,2,16,62
2025-12-18 23:57:38.670688,1,1,2,17,62
2025-12-18 23:57:41.978509,1,2,12,17,65
2025-12-18 23:57:45.338437,1,2,1,17,68
2025-12-18 23:57:48.244546,1,2,5,17,71
2025-12-18 23:57:51.157083,1,2,11,17,71
2025-12-18 23:57:53.962743,1,1,9,17,71
2025-12-18 23:57:57.775477,1,2,1,17,71
2025-12-18 23:58:01.631545,1,2,12,17,71
2025-12-18 23:58:05.341485,1,2,3,17,71
2025-12-18 23:58:09.204262,1,2,2,17,71
2025-12-18 23:58:12.508744,1,2,18,16,71
2025-12-18 23:58:16.321220,1,1,3,16,71
2025-12-18 23:58:20.181393,1,1,2,16,71
2025-12-18 23:58:22.998927,1,2,1,16,71
2025-12-18 23:58:26.353810,1,2,11,16,71
2025-12-18 23:58:30.263327,1,2,11,16,71
2025-12-18 23:58:33.170970,1,2,2,16,71
2025-12-18 23:58:35.987702,1,2,2,16,71
2025-12-18 23:58:39.788988,1,2,2,16,71
2025-12-18 23:58:43.652164,1,2,4,16,71
2025-12-18 23:58:47.406232,1,2,5,16,71
