Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate
2026-01-06 20:18:43.566815,1,2,41,19,76
2026-01-06 20:18:46.938586,1,2,19,19,73
2026-01-06 20:18:50.731722,1,2,10,23,109
2026-01-06 20:18:54.720851,1,2,3,24,112
2026-01-06 20:18:57.792757,1,2,18,24,115
2026-01-06 20:19:00.455177,1,2,86,24,118
2026-01-06 20:19:03.322404,1,2,8,24,118
2026-01-06 20:19:07.213623,1,2,8,20,112
2026-01-06 20:19:10.932607,1,2,9,19,106
2026-01-06 20:19:14.385171,1,2,3,20,95
2026-01-06 20:19:17.248509,1,2,21,20,92
2026-01-06 20:19:21.139883,1,2,32,23,108
2026-01-06 20:19:23.904576,1,2,29,23,111
2026-01-06 20:19:26.671246,1,2,16,24,114
2026-01-06 20:19:30.561250,1,2,7,23,117
2026-01-06 20:19:34.451897,1,2,18,24,120
2026-01-06 20:19:37.319410,1,2,8,21,117
2026-01-06 20:19:40.186171,1,2,7,20,111
2026-01-06 20:19:43.032280,1,2,8,20,105
2026-01-06 20:19:45.921091,1,2,8,20,99
2026-01-06 20:19:49.638349,1,2,2,20,93
2026-01-06 20:19:53.804987,1,2,6,19,84
2026-01-06 20:19:56.672270,1,2,5,19,83
2026-01-06 20:19:59.350678,1,1,4,19,83
2026-01-06 20:20:02.133408,1,2,3,18,83
2026-01-06 20:20:06.093519,1,1,3,18,85
2026-01-06 20:20:09.382559,1,2,21,18,86
2026-01-06 20:20:13.259240,1,2,20,24,106
2026-01-06 20:20:16.133900,1,2,8,24,109
2026-01-06 20:20:19.102917,1,2,3,24,112
2026-01-06 20:20:21.862877,1,2,11,24,115
2026-01-06 20:20:25.646206,1,2,11,24,118
2026-01-06 20:20:30.014975,1,2,11,23,121
2026-01-06 20:20:32.922044,1,2,4,22,115
2026-01-06 20:20:35.765061,1,2,7,22,109
2026-01-06 20:20:39.783289,1,2,2,19,103
2026-01-06 20:20:42.493011,1,2,19,19,97
2026-01-06 20:20:45.311971,1,2,6,19,91
2026-01-06 20:20:49.203519,1,2,9,19,85
2026-01-06 20:20:52.172640,1,2,2,19,79
2026-01-06 20:20:55.040322,1,2,1,18,73
2026-01-06 20:20:58.039743,1,2,23,19,70
2026-01-06 20:21:01.696656,1,2,9,18,67
2026-01-06 20:21:06.008991,1,2,9,18,64
2026-01-06 20:21:09.383533,1,2,2,18,67
2026-01-06 20:21:13.683429,1,1,4,17,70
2026-01-06 20:21:18.489816,1,2,8,17,74
2026-01-06 20:21:20.959269,1,2,6,17,74
2026-01-06 20:21:23.814911,1,2,6,17,77
2026-01-06 20:21:27.808176,1,2,2,17,80
2026-01-06 20:21:30.583963,1,2,18,17,81
2026-01-06 20:21:33.440461,1,2,10,17,81
2026-01-06 20:21:36.204420,1,2,7,18,81
2026-01-06 20:21:39.072200,1,2,3,18,82
2026-01-06 20:21:41.939811,1,2,4,18,82
2026-01-06 20:21:45.018918,1,2,1,19,82
2026-01-06 20:21:48.104681,1,2,2,19,82
2026-01-06 20:21:50.942955,1,2,7,19,82
2026-01-06 20:21:53.701546,1,2,13,19,82
2026-01-06 20:21:57.838411,1,2,7,19,82
2026-01-06 20:22:00.583664,1,2,3,19,82
2026-01-06 20:22:03.342770,1,2,8,19,82
2026-01-06 20:22:07.233111,1,2,3,20,82
2026-01-06 20:22:11.020756,1,1,6,20,82
2026-01-06 20:22:14.400129,1,2,8,21,82
2026-01-06 20:22:17.290848,1,2,6,21,82
2026-01-06 20:22:21.133146,1,2,2,21,82
2026-01-06 20:22:23.983496,1,2,1,21,76
2026-01-06 20:22:26.892418,1,2,4,21,72
2026-01-06 20:22:31.166891,1,2,4,21,69
2026-01-06 20:22:34.164022,1,2,3,21,66
2026-01-06 20:22:37.441091,1,1,3,21,64
2026-01-06 20:22:40.511336,1,1,5,21,64
2026-01-06 20:22:43.189228,1,2,2,21,64
2026-01-06 20:22:45.938965,1,1,6,21,64
2026-01-06 20:22:49.833581,1,2,5,21,64
2026-01-06 20:22:53.311804,1,2,2,21,64
2026-01-06 20:22:56.589209,1,2,1,21,64
2026-01-06 20:22:59.368900,1,2,5,21,64
2026-01-06 20:23:02.667251,1,2,3,21,64
2026-01-06 20:23:05.497357,1,2,2,21,64
2026-01-06 20:23:09.415002,1,2,3,21,64
2026-01-06 20:23:12.794977,1,1,1,21,64
2026-01-06 20:23:15.634432,1,2,9,21,64
2026-01-06 20:23:19.633261,1,2,5,21,64
2026-01-06 20:23:22.392969,1,1,1,20,64
2026-01-06 20:23:25.772480,1,2,3,20,64
2026-01-06 20:23:29.561507,1,2,2,19,64
2026-01-06 20:23:32.433170,1,1,2,19,64
2026-01-06 20:23:35.705120,1,2,8,19,64
2026-01-06 20:23:38.613725,1,2,7,19,64
2026-01-06 20:23:42.463549,1,2,11,19,64
2026-01-06 20:23:45.740341,1,1,2,19,64
2026-01-06 20:23:49.119558,1,2,2,19,64
2026-01-06 20:23:52.210338,1,1,1,19,64
2026-01-06 20:23:54.853933,1,1,1,19,67
2026-01-06 20:23:57.721031,1,2,3,19,67
2026-01-06 20:24:02.537841,1,2,20,20,64
2026-01-06 20:24:05.503508,1,2,9,20,64
2026-01-06 20:24:08.883046,1,2,33,20,107
2026-01-06 20:24:11.683293,1,2,25,23,110
2026-01-06 20:24:14.514199,1,2,6,24,113
2026-01-06 20:24:18.422366,1,2,14,23,116
2026-01-06 20:24:21.537038,1,2,6,23,119
2026-01-06 20:24:24.652195,1,2,1,24,122
2026-01-06 20:24:29.157696,1,1,51,23,119
2026-01-06 20:24:31.932677,1,2,70,23,113
