Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate,PredHeart,PredBreath,AnomalyScore,IsAnomaly
2026-01-25 14:53:39.335722,1,1,1,21,82,82.109,21.12,4.012e-05,0
2026-01-25 14:53:43.202734,1,1,1,21,82,81.834,21.055,3.393e-05,0
2026-01-25 14:53:46.106982,1,1,1,21,82,81.622,21.114,2.186e-05,0
2026-01-25 14:53:51.065505,1,2,2,20,78,78.365,20.142,2.835e-05,0
2026-01-25 14:53:53.924508,1,1,1,20,75,74.613,19.992,1.28e-05,0
2026-01-25 14:53:56.736397,1,1,1,21,74,73.529,21.14,2.343e-05,0
2026-01-25 14:54:01.194061,1,1,1,21,74,73.864,21.02,1.418e-05,0
2026-01-25 14:54:04.133550,1,1,1,21,74,73.733,21.013,1.789e-05,0
2026-01-25 14:54:06.921066,1,1,1,21,74,73.669,21.143,1.7e-05,0
2026-01-25 14:54:10.721540,1,1,1,20,74,73.539,20.067,1.34e-05,0
